,t,S(t),E(t),I(t),R(t)
43,43,8330810.398389517,0.00713305804341512,0.6665884143466362,5.711698943516726
44,44,8320820.186257447,0.0056410123511154795,0.5658934273508099,5.060355787493865
45,45,8310841.869359435,0.004460172287102231,0.4802736695404006,4.480360315266973
46,46,8300875.442852114,0.0035258157562531155,0.4075009797957698,3.9644790365280866
47,47,8290920.90094026,0.002786641443967561,0.3456703876191377,3.5061109452962276
48,48,8280978.236961844,0.0022019942010630205,0.2931545573536653,3.0992507670598624
49,49,8271047.443468144,0.0017396623108359459,0.2485643641895634,2.73845046161951
50,50,8261128.512298639,0.0013741291302343018,0.21071484172534116,2.41878010307538
51,51,8251221.434650623,0.0010851856664058582,0.17859581981181416,2.1357889988670027
52,52,8241326.201143555,0.000856829804785609,0.15134664605986872,1.8854676963602506
53,53,8231442.801878277,0.0006763931455257407,0.1282344537925435,1.6642113513656975
54,54,8221571.22649128,0.000533848528735786,0.10863550289498983,1.4687847921259956
55,55,8211711.464204252,0.00042126097111015726,0.09201917782442964,1.2962894994435281
56,56,8201863.503869178,0.0003323524033851333,0.07793427907840303,1.1441326341416023
57,57,8192027.33400926,0.00026215669303293685,0.06599729092744087,1.0099981730034386
58,58,8182202.942855948,0.00020674628091716564,0.055882349536544994,0.891820160321233
59,59,8172390.318382375,0.0001630156101107327,0.0473126721203318,0.7877580413246615
60,60,8162589.448333474,0.00012850958336957824,0.040053239914613174,0.6961740135998408
61,61,8152800.320253052,0.00010128771496159184,0.033904555920421055,0.6156123110982926
62,62,8143022.921508081,7.981657166499008e-05,0.02869732299150418,0.5447803207484135
63,63,8133257.23931046,6.288462940264676e-05,0.024287909279106297,0.48253142258531584
64,64,8123503.260736471,4.953488780309966e-05,0.02055448667835681,0.4278494395215184
65,65,8113760.972744155,3.9011549896165776e-05,0.01739374406998817,0.3798345814136647
66,66,8104030.362188809,3.071783977954934e-05,0.014718091120573899,0.3376907691398718
67,67,8094311.41583678,2.4182638465090116e-05,0.01245328046566178,0.3007142273388192
68,68,8084604.120377745,1.903409984013079e-05,0.010536386496138255,0.26828323875112525
69,69,8074908.462435603,1.4978790672858229e-05,0.00891408791510395,0.239848958326413
70,70,8065224.428578167,1.1785201435229157e-05,0.00754120892174761,0.21492719108309497
71,71,8055552.005325733,9.27071476262562e-06,0.00637948047864012,0.19309104387133114
72,72,8045891.179158683,7.291308598364055e-06,0.005396488777317048,0.17396436749077301
73,73,8036241.936524211,5.733421790633268e-06,0.004564782863175401,0.1572159118995918
74,74,8026604.263842271,4.507529300450487e-06,0.0038611175271849683,0.14255412340493015
75,75,8016978.147510823,3.543068734072187e-06,0.0032658111165899135,0.1297225186637846
76,76,8007363.57391048,2.7844347829631215e-06,0.002762200944533321,0.11849557598905833
77,77,7997760.529408594,2.1878174248547267e-06,0.0023361815628258065,0.10867508980970732
78,78,7988169.000362856,1.7187066510409107e-06,0.0019758133663345012,0.1000869391537895
79,79,7978588.973124484,1.3499236072022335e-06,0.0016709908763829807,0.092578225698213
80,80,7969020.434041006,1.060067404518231e-06,0.0014131616512064174,0.08601474125774329
81,81,7959463.369458726,8.322900889224015e-07,0.0011950881343700708,0.08027872857400142
82,82,7949917.765724883,6.533306282475494e-07,0.0010106459118771733,0.07526690292348431
83,83,7940383.609189552,5.127533031053613e-07,0.0008546528352571418,0.07088870540636406
84,84,7930860.886207305,4.02347370329277e-07,0.0007227243067565648,0.06706476182168104
85,85,7921349.583138677,3.1565394333344845e-07,0.0006111507356917217,0.06372552379770557
86,86,7911849.68635145,2.4759320507059383e-07,0.0005167937807333622,0.060810071347619774
87,87,7902361.182221771,1.9417073478087214e-07,0.0004369985073318871,0.058265058279369834
88,88,7892884.057135139,1.5224620468805082e-07,0.0003695190262688738,0.056043783923437694
89,89,7883418.297487262,1.1935123667790297e-07,0.0003124555500528396,0.05410537647172552
90,90,7873963.889684812,9.354599912926319e-08,0.00026420111846358306,0.05241407486233217
91,91,7864520.82014608,7.330632654149262e-08,0.0002233965114250857,0.05093859761542553
92,92,7855089.075301549,5.743488283449749e-08,0.00018889209373387425,0.04965158834038752
93,93,7845668.641594395,4.49912607642202e-08,0.00015971552810031928,0.04852912880859736
94,94,7836259.50548092,3.523699192358906e-08,0.00013504445567413562,0.0475503115332376
95,95,7826861.653430933,2.7592295235896384e-08,0.00011418338114348471,0.04669686472992089
96,96,7817475.071928078,2.1602064850692253e-08,9.654411637728413e-05,0.04595282336128767
97,97,7808099.74747012,1.690912896186417e-08,8.162923561528027e-05,0.04530424070557725
98,98,7798735.66656919,1.323322932688131e-08,6.901807911178172e-05,0.04473893554315566
99,99,7789382.815752003,1.0354500897728088e-08,5.8354913209038565e-05,0.0442462706348404
100,100,7780041.18156004,8.100490705574409e-09,4.9338915009338935e-05,0.043816958679521796
